title,author,rating,description,language,genres,pages,publisher,publishDate,numRatings,likedPercent,coverImg,description_cleaned
A Brief History of Time,Stephen Hawking,4.18,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.A Brief History of TimeStephen HawkingA Brief History of TimeStephen Hawking",English,"['Science', 'Nonfiction', 'Physics', 'History', 'Astronomy', 'Philosophy', 'Classics', 'Popular Science', 'Space', 'Audiobook']",212,Bantam Books,09/01/98,303285,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333578746l/3869.jpg,ten years since publication stephen hawkings classic work become landmark volume scientific writing nine million copies forty languages sold worldwide edition cutting edge known origins nature universe intervening years seen extraordinary advances technology observing micro macrocosmic worlds observations confirmed many professor hawkings theoretical predictions first edition book including recent discoveries cosmic background explorer satellite cobe probed back time within years universes beginning revealed wrinkles fabric spacetime projected eager bring original text new knowledge revealed observations well recent research professor hawking prepared new introduction book written entirely new chapter wormholes time travel updated chapters throughouta brief history timestephen hawkinga brief history timestephen hawking
Night,"Elie Wiesel, Marion Wiesel (Translator), François Mauriac (Foreword)",4.34,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. Night is the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again.NightElie Wiesel, Marion Wiesel (Translator), François Mauriac (Foreword)The Night Trilogy #1NightElie Wiesel, Marion Wiesel (Translator), François Mauriac (Foreword)The Night Trilogy #1",English,"['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School', 'Historical', 'War', 'World War II']",115,Hill & Wang,01/16/06,970183,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575073611l/1617.jpg,born town sighet transylvania elie wiesel teenager family taken home auschwitz concentration camp buchenwald night terrifying record elie wiesels memories death family death innocence despair deeply observant jew confronting absolute evil man new translation wife frequent translator marion wiesel corrects important details presents accurate rendering english elie wiesels testimony happened camps unforgettable message horror must simply never allowed happen againnightelie wiesel marion wiesel translator franois mauriac forewordthe night trilogy nightelie wiesel marion wiesel translator franois mauriac forewordthe night trilogy
Scarlet,Marissa Meyer (Goodreads Author),4.27,"Cinder returns in the second thrilling installment of the New York Times-bestselling Lunar Chronicles.She’s trying to break out of prison—even though if she succeeds, she’ll be the Commonwealth’s most wanted fugitive. Halfway around the world, Scarlet Benoit’s grandmother is missing. It turns out there are many things Scarlet doesn’t know about her grandmother and the grave danger she has lived in her whole life. When Scarlet encounters Wolf, a street fighter who may have information as to her grandmother’s whereabouts, she has no choice but to trust him, though he clearly has a few dark secrets of his own. As Scarlet and Wolf work to unravel one mystery, they find another when they cross paths with Cinder. Together, they must stay one step ahead of the vicious Lunar Queen who will do anything to make Prince Kai her husband, her king, her prisoner.ScarletMarissa Meyer (Goodreads Author)The Lunar Chronicles #2ScarletMarissa Meyer (Goodreads Author)The Lunar Chronicles #2",English,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Dystopia', 'Retellings', 'Fiction', 'Fairy Tales', 'Audiobook', 'Adventure']",454,Feiwel & Friends,02/05/13,311788,97.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470056982l/13206760._SY475_.jpg,cinder returns second thrilling installment new york timesbestselling lunar chroniclesshes trying break prisoneven though succeeds shell commonwealths wanted fugitive halfway around world scarlet benoits grandmother missing turns many things scarlet doesnt know grandmother grave danger lived whole life scarlet encounters wolf street fighter may information grandmothers whereabouts choice trust though clearly dark secrets scarlet wolf work unravel one mystery find another cross paths cinder together must stay one step ahead vicious lunar queen anything make prince kai husband king prisonerscarletmarissa meyer goodreads authorthe lunar chronicles scarletmarissa meyer goodreads authorthe lunar chronicles
Watchers,Dean Koontz (Goodreads Author),4.18,"From a top secret government laboratory come two genetically altered life forms. One is a magnificent dog of astonishing intelligence. The other, a hybrid monster of a brutally violent nature. And both are on the loose…Bestselling author Dean Koontz presents his most terrifying, dramatic and moving novel: The explosive story of a man and a woman, caught in a relentless storm of mankind’s darkest creation…WatchersDean Koontz (Goodreads Author)WatchersDean Koontz (Goodreads Author)",English,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Science Fiction', 'Drama', 'Fantasy', 'Novels', 'Mystery Thriller']",624,Berkley,01/28/03,152934,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532695250l/32423._SY475_.jpg,top secret government laboratory come two genetically altered life forms one magnificent dog astonishing intelligence hybrid monster brutally violent nature loosebestselling author dean koontz presents terrifying dramatic moving novel explosive story man woman caught relentless storm mankinds darkest creationwatchersdean koontz goodreads authorwatchersdean koontz goodreads author
One for the Money,Janet Evanovich (Goodreads Author),4.04,"You've lost your job as a department store lingerie buyer, your car's been repossessed, and most of your furniture and small appliances have been sold off to pay last month's rent. Now the rent is due again. And you live in New Jersey. What do you do?If you're Stephanie Plum, you become a bounty hunter. But not just a nickel-and-dime bounty hunter; you go after the big money. That means a cop gone bad. And not just any cop. She goes after Joe Morelli, a disgraced former vice cop who is also the man who took Stephanie's virginity at age 16 and then wrote details on a bathroom wall. With pride and rent money on the line, Plum plunges headlong into her first case, one that pits her against ruthless adversaries - people who'd rather kill than lose.In Stephanie Plum, Evanovich has created a resourceful and humorous character who stands apart from the pack of gritty female detectives.One for the MoneyJanet Evanovich (Goodreads Author)Stephanie Plum #1One for the MoneyJanet Evanovich (Goodreads Author)Stephanie Plum #1",English,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Mystery Thriller', 'Contemporary', 'Adult', 'Comedy']",320,Griffin,10/28/06,483024,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316730230l/6853.jpg,youve lost job department store lingerie buyer cars repossessed furniture small appliances sold pay last months rent rent due live new jersey doif youre stephanie plum become bounty hunter nickelanddime bounty hunter go big money means cop gone bad cop goes joe morelli disgraced former vice cop also man took stephanies virginity age wrote details bathroom wall pride rent money line plum plunges headlong first case one pits ruthless adversaries people whod rather kill losein stephanie plum evanovich created resourceful humorous character stands apart pack gritty female detectivesone moneyjanet evanovich goodreads authorstephanie plum one moneyjanet evanovich goodreads authorstephanie plum
The Song of Achilles,Madeline Miller (Goodreads Author),4.35,"Greece in the age of heroes. Patroclus, an awkward young prince, has been exiled to the court of King Peleus and his perfect son Achilles. By all rights their paths should never cross, but Achilles takes the shamed prince as his friend, and as they grow into young men skilled in the arts of war and medicine their bond blossoms into something deeper - despite the displeasure of Achilles' mother Thetis, a cruel sea goddess. But then word comes that Helen of Sparta has been kidnapped. Torn between love and fear for his friend, Patroclus journeys with Achilles to Troy, little knowing that the years that follow will test everything they hold dear.Profoundly moving and breathtakingly original, this rendering of the epic Trojan War is a dazzling feat of the imagination, a devastating love story, and an almighty battle between gods and kings, peace and glory, immortal fame and the human heart.The Song of AchillesMadeline Miller (Goodreads Author)The Song of AchillesMadeline Miller (Goodreads Author)",English,"['Historical Fiction', 'Fantasy', 'Fiction', 'Mythology', 'LGBT', 'Romance', 'Historical', 'Retellings', 'Audiobook', 'Adult']",352,Bloomsbury Publishing,09/20/11,228034,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331154660l/11250317.jpg,greece age heroes patroclus awkward young prince exiled court king peleus perfect son achilles rights paths never cross achilles takes shamed prince friend grow young men skilled arts war medicine bond blossoms something deeper despite displeasure achilles mother thetis cruel sea goddess word comes helen sparta kidnapped torn love fear friend patroclus journeys achilles troy little knowing years follow test everything hold dearprofoundly moving breathtakingly original rendering epic trojan war dazzling feat imagination devastating love story almighty battle gods kings peace glory immortal fame human heartthe song achillesmadeline miller goodreads authorthe song achillesmadeline miller goodreads author
Champion,Marie Lu (Goodreads Author),4.34,"He is a Legend.She is a Prodigy.Who will be Champion?  June and Day have sacrificed so much for the people of the Republic—and each other—and now their country is on the brink of a new existence. June is back in the good graces of the Republic, working within the government’s elite circles as Princeps-Elect, while Day has been assigned a high-level military position. But neither could have predicted the circumstances that will reunite them: just when a peace treaty is imminent, a plague outbreak causes panic in the Colonies, and war threatens the Republic’s border cities. This new strain of plague is deadlier than ever, and June is the only one who knows the key to her country’s defense. But saving the lives of thousands will mean asking the one she loves to give up everything. With heart-pounding action and suspense, Marie Lu’s bestselling trilogy draws to a stunning conclusion.ChampionMarie Lu (Goodreads Author)Legend #3ChampionMarie Lu (Goodreads Author)Legend #3",English,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Action', 'Audiobook', 'Teen']",369,Putnam Juvenile,11/05/13,166966,97.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382652310l/14290364.jpg,legendshe prodigywho champion june day sacrificed much people republicand otherand country brink new existence june back good graces republic working within governments elite circles princepselect day assigned highlevel military position neither could predicted circumstances reunite peace treaty imminent plague outbreak causes panic colonies war threatens republics border cities new strain plague deadlier ever june one knows key countrys defense saving lives thousands mean asking one loves give everything heartpounding action suspense marie lus bestselling trilogy draws stunning conclusionchampionmarie lu goodreads authorlegend championmarie lu goodreads authorlegend
Assassin's Apprentice,Robin Hobb (Goodreads Author),4.15,"In a faraway land where members of the royal family are named for the virtues they embody, one young boy will become a walking enigma.Born on the wrong side of the sheets, Fitz, son of Chivalry Farseer, is a royal bastard, cast out into the world, friendless and lonely. Only his magical link with animals - the old art known as the Wit - gives him solace and companionship. But the Wit, if used too often, is a perilous magic, and one abhorred by the nobility.So when Fitz is finally adopted into the royal household, he must give up his old ways and embrace a new life of weaponry, scribing, courtly manners; and how to kill a man secretly, as he trains to become a royal assassin.Assassin's ApprenticeRobin Hobb (Goodreads Author)The Farseer Trilogy #1Assassin's ApprenticeRobin Hobb (Goodreads Author)The Farseer Trilogy #1",English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Adult', 'Audiobook', 'Young Adult']",435,Spectra Books,03/01/96,235134,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464570795l/77197._SY475_.jpg,faraway land members royal family named virtues embody one young boy become walking enigmaborn wrong side sheets fitz son chivalry farseer royal bastard cast world friendless lonely magical link animals old art known wit gives solace companionship wit used often perilous magic one abhorred nobilityso fitz finally adopted royal household must give old ways embrace new life weaponry scribing courtly manners kill man secretly trains become royal assassinassassins apprenticerobin hobb goodreads authorthe farseer trilogy assassins apprenticerobin hobb goodreads authorthe farseer trilogy
I'll Give You the Sun,Jandy Nelson (Goodreads Author),4.14,"
  ""We were all heading for each other on a collision course, no matter what. Maybe some people are just meant to be in the same story.""
At first, Jude and her twin brother Noah, are inseparable. Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude wears red-red lipstick, cliff-dives, and does all the talking for both of them. Years later, they are barely speaking. Something has happened to change the twins in different yet equally devastating ways . . . but then Jude meets an intriguing, irresistible boy and a mysterious new mentor. The early years are Noah's to tell; the later years are Jude's. But they each have only half the story, and if they can only find their way back to one another, they'll have a chance to remake their world. This radiant, award-winning novel from the acclaimed author of The Sky Is Everywhere will leave you breathless and teary and laughing—often all at once.Printz Award Winner Stonewall Honor Book.I'll Give You the SunJandy Nelson (Goodreads Author)I'll Give You the SunJandy Nelson (Goodreads Author)",English,"['Young Adult', 'Contemporary', 'LGBT', 'Romance', 'Fiction', 'Realistic Fiction', 'Queer', 'Coming Of Age', 'Young Adult Contemporary', 'Family']",371,Dial Books,09/16/14,254493,91.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451382614l/20820994._SY475_.jpg,heading collision course matter maybe people meant story first jude twin brother noah inseparable noah draws constantly falling love charismatic boy next door daredevil jude wears redred lipstick cliffdives talking years later barely speaking something happened change twins different yet equally devastating ways jude meets intriguing irresistible boy mysterious new mentor early years noahs tell later years judes half story find way back one another theyll chance remake world radiant awardwinning novel acclaimed author sky everywhere leave breathless teary laughingoften onceprintz award winner stonewall honor bookill give sunjandy nelson goodreads authorill give sunjandy nelson goodreads author
Oryx and Crake,Margaret Atwood (Goodreads Author),4.01,"Oryx and Crake is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.Oryx and CrakeMargaret Atwood (Goodreads Author)MaddAddam #1Oryx and CrakeMargaret Atwood (Goodreads Author)MaddAddam #1",English,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Canada', 'Speculative Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Novels']",389,Anchor Books,03/30/04,221061,93.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494109986l/46756.jpg,oryx crake unforgettable love story compelling vision future snowman known jimmy mankind overwhelmed plague struggling survive world may last human mourning loss best friend crake beautiful elusive oryx loved search answers snowman embarks journeywith help greeneyed children crakethrough lush wilderness recently great city powerful corporations took mankind uncontrolled genetic engineering ride margaret atwood projects us near future familiar beyond imaginingoryx crakemargaret atwood goodreads authormaddaddam oryx crakemargaret atwood goodreads authormaddaddam
Cress,Marissa Meyer (Goodreads Author),4.43,"In this third book in the Lunar Chronicles, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and her army.Their best hope lies with Cress, a girl imprisoned on a satellite since childhood who's only ever had her netscreens as company. All that screen time has made Cress an excellent hacker. Unfortunately, she's just received orders from Levana to track down Cinder and her handsome accomplice.When a daring rescue of Cress goes awry, the group is separated. Cress finally has her freedom, but it comes at a higher price. Meanwhile, Queen Levana will let nothing prevent her marriage to Emperor Kai. Cress, Scarlet, and Cinder may not have signed up to save the world, but they may be the only hope the world has.CressMarissa Meyer (Goodreads Author)The Lunar Chronicles #3CressMarissa Meyer (Goodreads Author)The Lunar Chronicles #3",English,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Retellings', 'Dystopia', 'Fiction', 'Fairy Tales', 'Audiobook', 'Adventure']",552,Feiwel & Friends,02/04/14,274670,98.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470057005l/13206828._SY475_.jpg,third book lunar chronicles cinder captain thorne fugitives run scarlet wolf tow together theyre plotting overthrow queen levana armytheir best hope lies cress girl imprisoned satellite since childhood whos ever netscreens company screen time made cress excellent hacker unfortunately shes received orders levana track cinder handsome accomplicewhen daring rescue cress goes awry group separated cress finally freedom comes higher price meanwhile queen levana let nothing prevent marriage emperor kai cress scarlet cinder may signed save world may hope world hascressmarissa meyer goodreads authorthe lunar chronicles cressmarissa meyer goodreads authorthe lunar chronicles
The Lies of Locke Lamora,Scott Lynch (Goodreads Author),4.28,"An orphan’s life is harsh—and often short—in the mysterious island city of Camorr. But young Locke Lamora dodges death and slavery, becoming a thief under the tutelage of a gifted con artist. As leader of the band of light-fingered brothers known as the Gentleman Bastards, Locke is soon infamous, fooling even the underworld’s most feared ruler. But in the shadows lurks someone still more ambitious and deadly. Faced with a bloody coup that threatens to destroy everyone and everything that holds meaning in his mercenary life, Locke vows to beat the enemy at his own brutal game—or die trying.The Lies of Locke LamoraScott Lynch (Goodreads Author)Gentleman Bastard #1The Lies of Locke LamoraScott Lynch (Goodreads Author)Gentleman Bastard #1",English,"['Fantasy', 'Fiction', 'Adventure', 'Adult', 'High Fantasy', 'Epic Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Mystery', 'Crime']",752,Spectra,06/27/06,222487,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458646334l/29588376._SY475_.jpg,orphans life harshand often shortin mysterious island city camorr young locke lamora dodges death slavery becoming thief tutelage gifted con artist leader band lightfingered brothers known gentleman bastards locke soon infamous fooling even underworlds feared ruler shadows lurks someone still ambitious deadly faced bloody coup threatens destroy everyone everything holds meaning mercenary life locke vows beat enemy brutal gameor die tryingthe lies locke lamorascott lynch goodreads authorgentleman bastard lies locke lamorascott lynch goodreads authorgentleman bastard
The Fiery Cross,"Diana Gabaldon (Goodreads Author), Janos Farkas (translator)",4.24,"The year is 1771, and war is coming. Jamie Fraser’s wife tells him so. Little as he wishes to, he must believe it, for hers is a gift of dreadful prophecy—a time-traveler’s certain knowledge. Claire’s unique view of the future has brought him both danger and deliverance in the past; her knowledge of the oncoming revolution is a flickering torch that may light his way through the perilous years ahead—or ignite a conflagration that will leave their lives in ashes.The Fiery CrossDiana Gabaldon (Goodreads Author), Janos Farkas (translator)Outlander #5The Fiery CrossDiana Gabaldon (Goodreads Author), Janos Farkas (translator)Outlander #5",English,"['Historical Fiction', 'Romance', 'Fiction', 'Fantasy', 'Time Travel', 'Historical', 'Historical Romance', 'Audiobook', 'Adult', 'Adventure']",1443,Dell,08/30/05,170921,96.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407366842l/10967.jpg,year war coming jamie frasers wife tells little wishes must believe gift dreadful prophecya timetravelers certain knowledge claires unique view future brought danger deliverance past knowledge oncoming revolution flickering torch may light way perilous years aheador ignite conflagration leave lives ashesthe fiery crossdiana gabaldon goodreads author janos farkas translatoroutlander fiery crossdiana gabaldon goodreads author janos farkas translatoroutlander
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,"When suburban Claudia Kincaid decides to run away, she knows she doesn’t just want to run from somewhere, she wants to run to somewhere — to a place that is comfortable, beautiful, and, preferably, elegant. She chooses the Metropolitan Museum of Art in New York City. Knowing her younger brother Jamie has money and thus can help her with a serious cash-flow problem, she invites him along.Once settled into the museum, Claudia and Jamie find themselves caught up in the mystery of an angel statue that the museum purchased at auction for a bargain price of $225. The statue is possibly an early work of the Renaissance master, Michelangelo, and therefore worth millions. Is it? Or isn’t it? Claudia is determined to find out. Her quest leads her to Mrs. Basil E. Frankweiler, the remarkable old woman who sold the statue, and to some equally remarkable discoveries about herself.From the Mixed-Up Files of Mrs. Basil E. FrankweilerE.L. KonigsburgFrom the Mixed-Up Files of Mrs. Basil E. FrankweilerE.L. Konigsburg",English,"['Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Mystery', 'Classics', 'Realistic Fiction', 'Adventure', 'Juvenile', 'School']",178,Walker Books Ltd,06/02/03,189002,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327784751l/3980.jpg,suburban claudia kincaid decides run away knows doesnt want run somewhere wants run somewhere place comfortable beautiful preferably elegant chooses metropolitan museum art new york city knowing younger brother jamie money thus help serious cashflow problem invites alongonce settled museum claudia jamie find caught mystery angel statue museum purchased auction bargain price statue possibly early work renaissance master michelangelo therefore worth millions isnt claudia determined find quest leads mrs basil e frankweiler remarkable old woman sold statue equally remarkable discoveries herselffrom mixedup files mrs basil e frankweilerel konigsburgfrom mixedup files mrs basil e frankweilerel konigsburg
Crooked Kingdom,Leigh Bardugo (Goodreads Author),4.58,"Welcome to the world of the Grisha.Kaz Brekker and his crew of deadly outcasts have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives.Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descend on Ketterdam to root out the secrets of the dangerous drug known as jurda parem, old rivals and new enemies emerge to challenge Kaz's cunning and test the team's fragile loyalties.A war will be waged on the city's dark and twisting streets - a battle for revenge and redemption that will decide the fate of the Grisha world.Crooked KingdomLeigh Bardugo (Goodreads Author)The Six of Crows Trilogy #2Crooked KingdomLeigh Bardugo (Goodreads Author)The Six of Crows Trilogy #2",English,"['Fantasy', 'Young Adult', 'Fiction', 'LGBT', 'Young Adult Fantasy', 'Romance', 'Magic', 'Adventure', 'High Fantasy', 'Audiobook']",536,Orion Children's Books,09/27/16,195183,98.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172607l/22299763._SY475_.jpg,welcome world grishakaz brekker crew deadly outcasts pulled heist daring even didnt think theyd survive instead divvying fat reward theyre right back fighting livesdoublecrossed badly weakened crew low resources allies hope powerful forces around world descend ketterdam root secrets dangerous drug known jurda parem old rivals new enemies emerge challenge kazs cunning test teams fragile loyaltiesa war waged citys dark twisting streets battle revenge redemption decide fate grisha worldcrooked kingdomleigh bardugo goodreads authorthe six crows trilogy crooked kingdomleigh bardugo goodreads authorthe six crows trilogy
Prodigy,Marie Lu (Goodreads Author),4.26,"Injured and on the run, it has been seven days since June and Day barely escaped Los Angeles and the Republic with their lives. Day is believed dead having lost his own brother to an execution squad who thought they were assassinating him. June is now the Republic's most wanted traitor. Desperate for help, they turn to the Patriots - a vigilante rebel group sworn to bring down the Republic. But can they trust them or have they unwittingly become pawns in the most terrifying of political games?ProdigyMarie Lu (Goodreads Author)Legend #2ProdigyMarie Lu (Goodreads Author)Legend #2",English,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Action', 'Audiobook']",371,Putnam Juvenile,01/29/13,201922,97.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336254717l/13414446.jpg,injured run seven days since june day barely escaped los angeles republic lives day believed dead lost brother execution squad thought assassinating june republics wanted traitor desperate help turn patriots vigilante rebel group sworn bring republic trust unwittingly become pawns terrifying political gamesprodigymarie lu goodreads authorlegend prodigymarie lu goodreads authorlegend
City of Ashes,Cassandra Clare (Goodreads Author),4.17,"Also see: Alternate Cover Editions for this ISBN [ACE]  
  ACE #1
Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go — especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil — and also her father.To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings — and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?In this breathtaking sequel to City of Bones, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.City of AshesCassandra Clare (Goodreads Author)The Mortal Instruments #2City of AshesCassandra Clare (Goodreads Author)The Mortal Instruments #2",English,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Vampires', 'Fiction', 'Supernatural', 'Angels', 'Magic']",453,Margaret K. McElderry Books,03/25/08,746180,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY475_.jpg,also see alternate cover editions isbn ace ace clary fray wishes life would go back normal whats normal youre demonslaying shadowhunter mother magically induced coma suddenly see downworlders like werewolves vampires faeries clary left world shadowhunters behind would mean time best friend simon whos becoming friend shadowhunting world isnt ready let go especially handsome infuriating newfound brother jace clarys chance help mother track rogue shadowhunter valentine probably insane certainly evil also fatherto complicate matters someone new york city murdering downworlder children valentine behind killings trying second mortal instruments soulsword stolen terrifying inquisitor arrives investigate zooms right jace clary stop valentine jace willing betray everything believes help fatherin breathtaking sequel city bones cassandra clare lures readers back dark grip new york citys downworld love never safe power becomes deadliest temptationcity ashescassandra clare goodreads authorthe mortal instruments city ashescassandra clare goodreads authorthe mortal instruments
Club Dead,Charlaine Harris (Goodreads Author),4.02,"Things between cocktail waitress Sookie and her vampire boyfriend Bill seem to be going excellently (apart from the small matter of him being undead) until he leaves town for a while. A long while. Bill's sinister boss Eric has an idea of where to find him, whisking her off to Jackson, Mississippi to mingle with the under-underworld at Club Dead. When she finally catches up with the errant vampire, he is in big trouble and caught in an act of serious betrayal. This raises serious doubts as to whether she should save him or start sharpening a few stakes of her own ..Club DeadCharlaine Harris (Goodreads Author)Sookie Stackhouse #3Club DeadCharlaine Harris (Goodreads Author)Sookie Stackhouse #3",English,"['Fantasy', 'Vampires', 'Paranormal', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery', 'Paranormal Romance', 'Supernatural', 'Adult']",274,Orbit,05/06/06,219839,95.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329501590l/140082.jpg,things cocktail waitress sookie vampire boyfriend bill seem going excellently apart small matter undead leaves town long bills sinister boss eric idea find whisking jackson mississippi mingle underunderworld club dead finally catches errant vampire big trouble caught act serious betrayal raises serious doubts whether save start sharpening stakes club deadcharlaine harris goodreads authorsookie stackhouse club deadcharlaine harris goodreads authorsookie stackhouse
Carry On,Rainbow Rowell (Goodreads Author),4.22,"Simon Snow is the worst Chosen One who's ever been chosen.That's what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he's probably right.Half the time, Simon can't even make his wand work, and the other half, he starts something on fire. His mentor's avoiding him, his girlfriend broke up with him, and there's a magic-eating monster running around, wearing Simon's face. Baz would be having a field day with all this, if he were here — it's their last year at the Watford School of Magicks, and Simon's infuriating nemesis didn't even bother to show up.
  Carry On - The Rise and Fall of Simon Snow
 is a ghost story, a love story and a mystery. It has just as much kissing and talking as you'd expect from a Rainbow Rowell story - but far, far more monsters.Carry OnRainbow Rowell (Goodreads Author)Simon Snow #1Carry OnRainbow Rowell (Goodreads Author)Simon Snow #1",English,"['Fantasy', 'Young Adult', 'LGBT', 'Romance', 'Fiction', 'Magic', 'Queer', 'Vampires', 'Audiobook', 'Young Adult Fantasy']",522,Wednesday Books,05/09/17,205334,94.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481729252l/32768522.jpg,simon snow worst chosen one whos ever chosenthats roommate baz says baz might evil vampire complete git hes probably righthalf time simon cant even make wand work half starts something fire mentors avoiding girlfriend broke theres magiceating monster running around wearing simons face baz would field day last year watford school magicks simons infuriating nemesis didnt even bother show carry rise fall simon snow ghost story love story mystery much kissing talking youd expect rainbow rowell story far far monsterscarry onrainbow rowell goodreads authorsimon snow carry onrainbow rowell goodreads authorsimon snow
